"Ret.Time","Area","CAS","Compound","Quality"
6.215,19105392,"004325-85-3","Tris(trimethylsilyl)borate","81"
8.545,1459589446,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.787,314208381,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
11.443,23672130,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
13.178,49279865,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
14.854,1799769894,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","70"
14.978,95035968,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.497,79145544,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.631,214400353,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","96"
15.832,279010432,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","94"
16.057,37193741,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.345,42904068,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.034,105858318,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
21.193,96993268,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","90"
21.584,49133369,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.762,632991590,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.479,44787429,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","87"
22.692,241418770,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.986,233399136,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.264,47397920,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.32,50996794,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.132,83642719,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
28.298,59987762,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.392,133064773,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","91"
29.272,233447755,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.505,167119175,"1000380-35-6","D-(-)-Fructose, pentakis(trimethylsilyl) ether, benzyloxime (isomer2)","91"
29.814,1614974459,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.162,307319113,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.44,231666660,"014199-80-5","Trimethylsilyl ether of glucitol","91"
31.006,59475941,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","91"
33.206,139118540,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.52,815921457,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
35.289,49673994,"020997-50-6","Thiocyanic acid, 5.alpha.-cholestan-3.beta.-yl ester","94"
36.348,69454327,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.836,112553174,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.131,16111041,"033910-06-4","Myo-Inositol, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, bis(trimethylsilyl) phosphate","87"
39.859,7424633,"1000308-88-0","Oleamide, N-trimethylsilyl-","91"
43.069,72353561,"1000380-41-9","D-(-)-Fructose, pentakis(trimethylsilyl) ether, trimethylsilyloxime(isomer 1)","74"
43.133,23211189,"1000380-35-5","D-(-)-Fructose, pentakis(trimethylsilyl) ether, benzyloxime (isomer1)","74"
44.989,34032326,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","90"
45.278,35329448,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","83"
50.971,613769480,"001856-05-9","Cholesterol trimethylsilyl ether","99"
