"Ret.Time","Area","CAS","Compound","Quality"
8.518,912687681,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.753,85334453,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","95"
11.435,27070238,"000141-63-9","Pentasiloxane, dodecamethyl-","91"
14.827,2487028869,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
14.971,84814912,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.489,62817999,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.823,239037858,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","93"
16.05,25986874,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.34,31924663,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.031,83953571,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","92"
21.192,64451246,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","90"
21.577,30167495,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","98"
21.744,473678305,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.479,30309997,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","87"
22.693,259528258,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.983,158763700,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.263,35514356,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.315,27880410,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.134,64628564,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","93"
27.554,35775752,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","74"
28.294,33894411,"1000333-13-9","DL-Ornithine, N,N,N'-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.388,94234050,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","92"
29.269,170920554,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.504,120096399,"1000380-35-6","D-(-)-Fructose, pentakis(trimethylsilyl) ether, benzyloxime (isomer2)","91"
29.803,1139277841,"128705-61-3","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.158,218572473,"120850-88-6","Galactose oxime hexakis(trimethylsilyl)","93"
30.438,156451581,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","93"
30.999,40567659,"007415-19-2","N,O,O'-Tris-(trimethylsilyl)tyrosine","91"
33.205,130153185,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.518,628458771,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
34.783,134815315,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","70"
36.351,63412571,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.838,98648541,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.13,13702526,"033910-06-4","Myo-Inositol, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, bis(trimethylsilyl) phosphate","91"
43.065,237292,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","78"
44.981,21145669,"025138-28-7","Arabinitol, pentakis-O-(trimethylsilyl)-","91"
50.968,565961846,"001856-05-9","Cholesterol trimethylsilyl ether","99"
