"Ret.Time","Area","CAS","Compound","Quality"
6.254,24356406,"004325-85-3","Tris(trimethylsilyl)borate","93"
8.536,931472138,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.784,140192642,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
11.447,25635352,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
13.175,22023019,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
14.8,1751383142,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","93"
14.963,49491489,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","92"
15.481,34091803,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.615,85306341,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","94"
15.812,102042901,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","93"
16.046,21157864,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.336,28058509,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.027,47781253,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
21.188,45779970,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.576,32645396,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.74,319262990,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.477,27699789,"007364-50-3","L-Cysteine, N,S-bis(trimethylsilyl)-, trimethylsilyl ester","87"
22.68,123089868,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.981,135648704,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
25.324,41109295,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.129,39452323,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
28.294,44330945,"1000333-13-9","DL-Ornithine, N,N,N'-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.388,88396845,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.267,117899102,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.502,84161898,"1000380-35-6","D-(-)-Fructose, pentakis(trimethylsilyl) ether, benzyloxime (isomer2)","91"
29.792,702938025,"128705-61-3","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.155,142487771,"120850-88-6","Galactose oxime hexakis(trimethylsilyl)","93"
30.439,114431223,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
31,33151366,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","91"
33.201,95012347,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.511,332561071,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.352,45394887,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.838,72931500,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
43.061,-492744,"1000380-41-9","D-(-)-Fructose, pentakis(trimethylsilyl) ether, trimethylsilyloxime(isomer 1)","74"
50.96,376887637,"001856-05-9","Cholesterol trimethylsilyl ether","99"
