"Ret.Time","Area","CAS","Compound","Quality"
6.236,18607190,"004325-85-3","Tris(trimethylsilyl)borate","94"
8.535,1302092902,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.777,253035759,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
13.173,43223374,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
14.828,2576272098,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
14.969,100376951,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.486,66758705,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.818,203837669,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","94"
16.049,31313700,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.338,49298756,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.028,85771702,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","94"
21.194,79330885,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","87"
21.58,38588274,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.75,520965415,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.48,40168641,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","87"
22.695,243936069,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.985,186971374,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.267,43820072,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.322,41786398,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.133,74997735,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
28.299,52477764,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.391,105510621,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","91"
29.273,199612354,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.505,140430177,"1000380-17-9","D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.809,1241547155,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.163,229556713,"120850-88-6","Galactose oxime hexakis(trimethylsilyl)","93"
30.442,184595136,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","92"
31.005,54585979,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","91"
33.203,121478370,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.513,595630594,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.348,61588910,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.839,86286524,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
43.063,14935402,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","86"
44.984,22212824,"018919-39-6","Galactitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
45.269,29508197,"1000332-00-2","4-Chloro-N-(4-chloro-2-phenoxyphenyl)benzenesulfonamide tms","91"
50.969,525825827,"001856-05-9","Cholesterol trimethylsilyl ether","99"
