"Ret.Time","Area","CAS","Compound","Quality"
6.311,28981831,"004325-85-3","Tris(trimethylsilyl)borate","81"
8.654,1813274307,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.86,372852525,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","95"
12.211,24898067,"018291-81-1","Phosphoric acid, bis(trimethylsilyl)monomethyl ester","94"
13.219,74050784,"1000373-29-6","2-(N-Isopropyl-N-(trimethylsilyl)amino)ethanol trimethylsilyl ether","72"
15.187,39608410,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.528,128896556,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.667,442370122,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","70"
15.868,615541777,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.081,43020205,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.362,77772261,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.053,217031397,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","92"
20.306,83411685,"1000079-52-5","Aminomalonic acid, tris(trimethylsilyl)-","87"
20.474,52821132,"070125-41-6","Trimethylsiloxy(trimethylsilyl)proline","90"
21.201,90501061,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","91"
21.6,50077640,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.785,828462796,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.494,52330222,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","86"
22.711,325750576,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.731,62096106,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","87"
24,275565114,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.278,53942539,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.332,63308865,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
26.999,29764783,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.185,160314650,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","93"
28.399,179947774,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
28.832,21142500,"1000380-18-5","D-(-)-Lyxose, tetrakis(trimethylsilyl) ether, methyloxime (anti)","86"
29.282,368720298,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.512,275942654,"1000380-17-9","D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.827,2057577977,"128705-61-3","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.169,527323130,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.445,284703601,"014199-80-5","Trimethylsilyl ether of glucitol","92"
33.213,112792274,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.534,1336978353,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.36,75851470,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.845,88678123,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
42.618,54287119,"1000380-09-1","Sucrose, octakis(trimethylsilyl) ether","95"
44.986,17933323,"1000380-12-1","D-Psicose, pentakis(trimethylsilyl) ether","90"
45.264,32496879,"1000332-00-2","4-Chloro-N-(4-chloro-2-phenoxyphenyl)benzenesulfonamide tms","93"
50.992,745294989,"001856-05-9","Cholesterol trimethylsilyl ether","99"
