"Ret.Time","Area","CAS","Compound","Quality"
6.357,22859898,"004325-85-3","Tris(trimethylsilyl)borate","92"
8.747,2573581834,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.559,28908655,"007480-78-6","L-Valine, trimethylsilyl ester","86"
9.897,186688549,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","97"
13.236,22802827,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","86"
14.511,70855372,"070125-39-2","Serine, bis(trimethylsilyl)-","99"
14.991,3795508724,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","70"
15.183,67581830,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.584,122457595,"007536-82-5","l-Threonine, O-(trimethylsilyl)-,trimethylsilyl ester","91"
15.882,687838446,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.093,57023397,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
18.052,112390024,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
19.141,41646134,"1000333-28-8","l-Aspartic acid, bis(trimethylsilyl) ester","80"
20.773,22052759,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","99"
21.202,127938562,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.598,20963465,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.797,948437982,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","98"
22.714,413981388,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.723,121608395,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","90"
23.996,224822673,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.275,48795647,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
26.04,14961530,"014199-72-5","Xylitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","95"
26.999,63580604,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.179,163526115,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","91"
28.4,229210371,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
28.832,58210962,"1000380-18-2","DL-Arabinose, tetrakis(trimethylsilyl) ether, methyloxime","70"
29.282,433335279,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.518,298324219,"1000380-35-6","D-(-)-Fructose, pentakis(trimethylsilyl) ether, benzyloxime (isomer2)","91"
29.834,2417939255,"1000380-18-7","D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
30.17,723327718,"1000380-18-7","D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
30.45,374438095,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","93"
31.804,14635860,"000084-74-2","Dibutyl phthalate","86"
33.216,132098171,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.535,1582037361,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
36.361,78535011,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.844,103883848,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.23,18229195,"000301-02-0","9-Octadecenamide, (Z)-","94"
43.066,21481241,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","80"
44.984,41818216,"1000380-38-3","L-Sorbose, pentakis(trimethylsilyl) ether, trimethylsilyloxime (isomer 1)","81"
45.267,59850970,"025138-28-7","Arabinitol, pentakis-O-(trimethylsilyl)-","91"
50.987,805603322,"001856-05-9","Cholesterol trimethylsilyl ether","99"
