"Ret.Time","Area","CAS","Compound","Quality"
6.294,27034669,"004325-85-3","Tris(trimethylsilyl)borate","76"
8.6,1412483150,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.809,109555623,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","95"
14.465,25083228,"070125-39-2","Serine, bis(trimethylsilyl)-","96"
14.882,2732480300,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
14.989,85341860,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.063,21773090,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.51,61259304,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","83"
15.847,363238012,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.069,36840152,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.352,23018851,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
17.93,19207422,"072785-19-4","6-Oxo-3-methoxy-N-methyl-4,5,7,8-diepoxymorphine","90"
18.042,106452103,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
20.462,34836067,"070125-41-6","Trimethylsiloxy(trimethylsilyl)proline","91"
21.197,96433377,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","90"
21.584,21789410,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.761,597219518,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.702,282893662,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.702,63858692,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","81"
23.988,168026660,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.271,32776649,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
26.999,34575490,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.154,84864469,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
28.302,33343271,"1000333-13-9","DL-Ornithine, N,N,N'-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.395,120761846,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.278,325568101,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.513,221721841,"1000380-17-9","D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.823,1872757311,"1000380-18-7","D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
30.002,39637971,"1000332-00-2","4-Chloro-N-(4-chloro-2-phenoxyphenyl)benzenesulfonamide tms","91"
30.165,400166211,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.443,222595889,"014199-80-5","Trimethylsilyl ether of glucitol","92"
31.801,13781143,"002775-90-8","beta.-D-Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-","89"
33.209,121779182,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.521,936775972,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
36.357,47502403,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.843,88859907,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
44.983,18756703,"025138-28-7","Arabinitol, pentakis-O-(trimethylsilyl)-","91"
45.265,30108430,"000035-23-4","Dulcitol, hexakis(trimethylsilyl)ether","91"
50.966,463770361,"001856-05-9","Cholesterol trimethylsilyl ether","99"
